Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,17,280,5123,1109,4.6,31,13,306,384,634,3263,18,18,4.7,175,415,1860,6,4.5,96,106,841,35,28.7,14.4,113.76
2,Kansas City Chiefs,17,294,4926,1045,4.7,17,9,300,340,556,3001,19,8,4.9,169,432,1925,10,4.5,107,73,604,24,28.5,9.5,35.54
3,San Francisco 49ers,17,298,5167,1038,5.0,28,6,319,410,621,3642,20,22,5.4,190,369,1525,10,4.1,97,94,762,32,33.9,15.5,-7.76
4,Buffalo Bills,17,311,5222,1015,5.1,30,12,313,363,552,3342,18,18,5.5,183,409,1880,14,4.6,96,99,753,34,32.0,16.0,5.71
5,Dallas Cowboys,17,315,5095,1014,5.0,26,9,311,308,509,3185,21,17,5.7,166,459,1910,14,4.2,108,104,934,37,32.0,14.6,4.29
6,Pittsburgh Steelers,17,324,5816,1074,5.4,27,11,311,348,573,3860,23,16,6.2,186,454,1956,9,4.3,95,90,741,30,33.7,14.2,-3.91
7,Tampa Bay Buccaneers,17,325,5852,1081,5.4,26,13,337,404,611,4232,23,13,6.4,213,422,1620,11,3.8,101,93,762,23,34.4,14.2,-29.99
8,New Orleans Saints,17,327,5562,1054,5.3,29,11,300,333,558,3524,22,18,6.0,167,462,2038,10,4.4,100,102,775,33,31.6,14.3,35.39
9,Las Vegas Raiders,17,331,5625,1089,5.2,22,9,330,376,564,3610,21,13,5.9,187,479,2015,15,4.2,117,96,861,26,33.0,11.4,-22.59
10,Green Bay Packers,17,350,5696,1061,5.4,18,11,340,342,523,3515,21,7,6.2,189,493,2181,15,4.4,120,95,907,31,38.7,9.8,-84.90
11,Houston Texans,17,353,5622,1079,5.2,24,10,332,382,565,3979,17,14,6.5,185,468,1643,19,3.5,110,100,805,37,34.7,11.1,-35.92
12,New York Jets,17,355,4969,1087,4.6,27,10,298,313,522,2861,19,17,5.0,150,517,2108,14,4.1,111,93,780,37,31.8,11.8,75.84
13,Minnesota Vikings,17,362,5664,1095,5.2,22,11,328,426,606,3986,23,11,6.1,208,446,1678,14,3.8,104,111,916,16,37.1,11.3,-37.62
14,Cleveland Browns,17,362,4593,1004,4.6,28,10,254,307,535,2800,23,18,4.8,136,420,1793,15,4.3,88,118,923,30,24.8,11.7,90.47
15,New England Patriots,17,366,5127,1091,4.7,18,8,305,370,575,3543,19,10,5.8,181,480,1584,14,3.3,100,75,544,24,31.5,7.9,25.44
16,Tennessee Titans,17,367,5697,1096,5.2,14,8,334,387,571,3866,20,6,6.3,189,480,1831,10,3.8,103,98,776,42,43.2,6.8,-69.25
17,Jacksonville Jaguars,17,371,5828,1078,5.4,27,11,314,404,617,4076,27,16,6.2,198,421,1752,15,4.2,99,108,961,17,32.3,12.8,-8.04
18,Atlanta Falcons,17,373,5458,1090,5.0,16,8,320,340,549,3449,24,8,5.8,183,499,2009,11,4.0,105,104,831,32,37.9,8.2,6.86
19,Los Angeles Rams,17,377,5744,1078,5.3,15,5,329,367,604,3928,24,10,6.1,193,433,1816,14,4.2,108,105,986,28,36.8,8.1,-64.62
20,Chicago Bears,17,379,5511,1035,5.3,28,6,307,410,617,4043,31,22,6.2,196,388,1468,8,3.8,88,72,530,23,34.2,14.7,-34.58
21,Cincinnati Bengals,17,384,6368,1055,6.0,26,9,351,364,555,4223,23,17,7.1,201,456,2145,17,4.7,127,92,784,23,38.5,13.4,-92.17
22,Miami Dolphins,17,391,5411,1057,5.1,27,12,321,380,568,3761,27,15,6.0,186,433,1650,15,3.8,109,96,719,26,32.1,13.9,-10.59
23,Detroit Lions,17,395,5714,1037,5.5,23,7,339,371,588,4205,28,16,6.7,209,408,1509,15,3.7,91,91,788,39,37.3,12.4,-110.17
24,Los Angeles Chargers,17,398,6170,1113,5.5,21,12,344,389,598,4246,26,9,6.6,203,467,1924,18,4.1,110,104,801,31,36.0,10.1,-92.65
25,Seattle Seahawks,17,402,6313,1147,5.5,19,8,380,390,585,3961,21,11,6.3,202,515,2352,24,4.6,143,103,824,35,40.4,10.4,-122.46
26,New York Giants,17,407,6149,1091,5.6,31,13,352,371,582,3898,21,18,6.3,191,475,2251,24,4.7,134,99,822,27,35.2,14.1,-37.29
27,Denver Broncos,17,413,6303,1083,5.8,26,15,349,382,572,3972,29,11,6.5,201,469,2331,15,5.0,119,99,965,29,40.2,13.0,-91.09
28,Indianapolis Colts,17,415,5947,1137,5.2,24,9,346,370,568,3842,21,15,6.2,192,518,2105,22,4.1,123,100,843,31,38.9,11.8,-38.18
29,Carolina Panthers,17,416,4997,1016,4.9,11,3,311,309,481,2916,19,8,5.7,162,508,2081,25,4.1,122,89,679,27,37.7,5.5,-56.65
30,Philadelphia Eagles,17,428,6054,1105,5.5,18,9,364,425,652,4296,35,9,6.2,222,410,1758,13,4.3,111,107,810,31,41.1,9.7,-121.62
31,Arizona Cardinals,17,455,6047,1060,5.7,17,6,369,347,506,3613,32,11,6.7,198,521,2434,19,4.7,141,92,765,30,44.0,8.6,-160.50
32,Washington Commanders,17,518,6612,1117,5.9,18,10,364,396,598,4457,39,8,7.0,218,480,2155,15,4.5,121,99,828,25,46.8,9.0,-148.31